Componente,Composizione,Specifiche,Ricic,More,Extra,Acidificazione,Cambiamento climatico tot,Uso del suolo,Particolato,"Formazione di ozono fotochimico, salute umana",Uso di risorse fossili,Uso acqua
Vassoio preformato,PET,Inserisci il contenuto di r-PET,,,,3.60E-03,2.65075,7.990833333,2.44E-08,6.31E-03,72.9275,0.125654167
Vassoio preformato,PET/PE,Inserisci il contenuto di r-PET,,,,0.002958333,2.057,9.740833333,2.26E-08,0.00270275,75.01083333,0.068570833
Vassoio preformato,XPS,Inserisci il contenuto di r-XPS,,,,0.004822917,2.77575,8.47,3.38E-08,0.00939025,84.90666667,0.565966667
Vassoio preformato,Carta + PE Aticelca A,Composizione in peso: 92% cellulosa + 8% LDPE,,,,0.00535,1.15,438.0088202,5.52E-08,0.000826394,14.60810011,0.549972365
Vassoio preformato,Carta + PE Aticelca B,Composizione in peso: 86% cellulosa + 14% LDPE,,,,0.00526,1.24,411,5.36E-08,0.000989,19.1,0.526
Vassoio preformato,Carta + PET Aticelca A,Composizione in peso: 92% cellulosa + 8% PET,,,,0.0054,1.2,438,5.53E-08,0.00111,14.4,0.554
Vassoio preformato,Carta + PET Aticelca B,Composizione in peso: 86% cellulosa + 14% PET,,,,0.00535,1.33,410,5.39E-08,0.00149,18.8,0.533
Vassoio preformato,Carta + PLA Aticelca A,Composizione in peso: 92% cellulosa + 10% PLA,,,,0.00664,1.2,456,7.55E-08,0.00116,11.1,0.612
Vassoio preformato,Carta + PLA Aticelca B,Composizione in peso: 86% cellulosa + 14% PLA,,,,0.00752,1.33,442,8.92E-08,0.00158,13,0.634
Vassoio preformato,Alluminio,100% Alu vergine,,,,0.0532,10.2,18.1,7.17E-07,0.025,132,3.51
Vassoio preformato,PP,100% PP vergine,,,,0.003610595,2.470833333,12.73204082,2.62E-08,0.003721741,80.60840136,0.307158163
Vassoio preformato,PLA,100% PLA vergine,,,,0.020287891,3.161734694,246.4905442,2.91E-07,0.007537643,37.45363946,1.027821429
Pad assorbente,Carta + PE,Composizione in peso: 90% cellulosa + 10% LDPE,,,,0.00205,0.433,319.2597412,5.57E-08,0.000340977,8.433598141,0.753316027
Top,PET1,100% vergine,,,,0.0031,2.37,5.54,2.04E-08,0.00583,66.9,0.0853
Top,PP1,100% vergine,,,,0.00251,1.75,4.08,1.71E-08,0.00286,67.1,0.105
Top,PA1,100% vergine,,,,0.00979,7.44,6.42,5.75E-08,0.0136,143,0.0838
Top,PVC1,100% vergine,,,,0.00294,2.08,9.62,2.52E-08,0.00526,51.1,0.0823
Top,PE1,Composizione in peso: 100% vergine; 25µm; PE 36%; PP 24%; PA 32%; EVOH 8% ,,,,0.00248,1.8,7.22,1.87E-08,0.00237,68.9,0.0305
Top,EVA/EVOH1,Composizione in peso: 100% vergine; 39µm; PE 43% + adv 5% + PET/PA coex (39%/13%) ,,,,0.0079584,2.1634,5.9233,6.40E-08,0.0067951,71.594,1.5352
Bottom,PET2,100% vergine,,,,0.0031,2.37,5.54,2.04E-08,0.00583,66.9,0.0853
Bottom,PP2,100% vergine,,,,0.00251,1.75,4.08,1.71E-08,0.00286,67.1,0.105
Bottom,PA2,100% vergine,,,,0.00979,7.44,6.42,5.75E-08,0.0136,143,0.0838
Bottom,PVC2,100% vergine,,,,0.00294,2.08,9.62,2.52E-08,0.00526,51.1,0.0823
Bottom,PE2,Composizione in peso: 100% vergine; 25µm; PE 36%; PP 24%; PA 32%; EVOH 8% ,,,,0.00248,1.8,7.22,1.87E-08,0.00237,68.9,0.0305
Bottom,EVA/EVOH2,Composizione in peso: 100% vergine; 39µm; PE 43% + adv 5% + PET/PA coex (39%/13%) ,,,,0.0079584,2.1634,5.9233,6.40E-08,0.0067951,71.594,1.5352
Supporto in cellulosa,cartene,100% carta greaseproof bianca,,,,0.0048268,0.58777,497.59,5.27E-08,0.0045492,9.3886,0.52741
Busta,Carta+PP,Composizione in peso: 63% kraft bianco + 37% plastica PP ,,,,0.00453,1.25,317,4.40E-08,0.00132,28.8,0.434
